date,account,time,vendor,price
2018-03-25,Dining Cash,13:27:00,Sol Mexican,-9.63
2018-03-25,Dining Cash,18:35:00,Whole Foods,-8.8
2018-03-26,Dining Cash,17:08:00,GRK Fresh DH,-8.53
2018-03-26,Dining Cash,20:49:00,Chick-fil-A DH,-6.86
2018-03-27,Dining Cash,13:42:00,GW DELI,-5.49
2018-03-27,Dining Cash,19:33:00,Wiseguy Pizza,-8.78
2018-03-28,Dining Cash,12:08:00,Sodexo GW Hospital,-7.23
2018-03-28,Dining Cash,18:13:00,&Pizza,-10.5
2018-03-28,Dining Cash,19:03:00,South Block,-7.7
2018-03-29,Dining Cash,11:43:00,Sol Mexican,-9.63
2018-03-29,Dining Cash,22:26:00,TGI Fridays #1757 GW,-17.16
2018-03-30,Dining Cash,12:20:00,Chick-fil-A DH,-6.86
2018-03-31,Dining Cash,12:25:00,CVS #01358,-27.65
2018-03-31,Dining Cash,19:10:00,Burger Tap and Shake,-12.65
2018-03-31,Dining Cash,11:16:00,Guthridge Hall Washer A3,-1.75
2018-03-31,Dining Cash,11:45:00,Guthridge Hall Dryer B6,-1.75
2018-04-01,Dining Cash,16:35:00,Captain Cookie,-1.25
2018-04-01,Dining Cash,18:54:00,Whole Foods,-8.8
2018-04-01,Dining Cash,14:06:00,PeetsCoffee DH,-2.48
2018-04-02,Dining Cash,12:19:00,Whole Foods,-11.49
2018-04-02,Dining Cash,20:11:00,Chick-fil-A DH,-6.86
2018-04-03,Dining Cash,12:50:00,Sol Mexican,-9.63
2018-04-03,Dining Cash,18:31:00,Wiseguy Pizza,-8.78
2018-04-04,Dining Cash,12:05:00,Whole Foods,-10.14
2018-04-05,Dining Cash,19:59:00,Whole Foods,-6.6
2018-04-05,Dining Cash,17:11:00,Gallery Market,-5.48
2018-04-08,Dining Cash,14:48:00,Guthridge Hall Dryer B4,-1.75
2018-04-08,Dining Cash,14:11:00,Guthridge Hall Washer A2,-1.75
2018-04-11,Dining Cash,12:08:00,Whole Foods,-8.8
2018-04-11,Dining Cash,18:24:00,GET Location 365,50.0
