,Account,Date,Time,Vendor,Price
174,Dining Cash,2017-11-17,13:12:00,Sweet Green,10.62
175,Dining Cash,2017-11-16,13:16:00,Au Bon Pain GW,7.46
176,Dining Cash,2017-11-15,20:58:00,WEPA SEH 2nd FLR,1.7
177,Dining Cash,2017-11-15,20:10:00,Wiseguy Pizza,3.29
178,Dining Cash,2017-11-15,18:04:00,Chick-fil-A DH,6.33
179,Dining Cash,2017-11-15,12:35:00,Whole Foods,5.85
180,Dining Cash,2017-11-15,00:14:00,Gallery Market,7.37
181,Dining Cash,2017-11-14,16:59:00,Chick-fil-A DH,6.86
182,Dining Cash,2017-11-14,13:50:00,Whole Foods,2.79
183,Dining Cash,2017-11-13,20:53:00,Wiseguy Pizza,7.68
184,Dining Cash,2017-11-13,19:33:00,Guthridge Hall Dryer B6,1.75
185,Dining Cash,2017-11-13,18:59:00,Guthridge Hall Washer A3,1.75
186,Dining Cash,2017-11-13,14:43:00,Whole Foods,10.95
187,Dining Cash,2017-11-10,20:23:00,Burger Tap and Shake,9.35
188,Dining Cash,2017-11-10,13:01:00,Whole Foods,2.18
189,Dining Cash,2017-11-09,16:04:00,Whole Foods,25.03
190,Dining Cash,2017-11-09,13:29:00,Wiseguy Pizza,3.29
191,Dining Cash,2017-11-09,13:15:00,CVS #01358,16.6
192,Dining Cash,2017-11-08,23:17:00,Gallery Market,4.48
193,Dining Cash,2017-11-08,22:40:00,WEPA SEH 2nd FLR,1.7
194,Dining Cash,2017-11-08,18:11:00,WEPA SEH 2nd FLR,0.08
195,Dining Cash,2017-11-08,18:11:00,WEPA SEH 2nd FLR,0.08
196,Dining Cash,2017-11-08,18:10:00,WEPA SEH 2nd FLR,0.08
197,Dining Cash,2017-11-08,18:10:00,WEPA SEH 2nd FLR,0.08
198,Dining Cash,2017-11-08,15:09:00,PeetsCoffee DH,2.75
199,Dining Cash,2017-11-08,14:15:00,Sweet Green,10.62
