,Account,Date,Time,Vendor,Price
146,Dining Cash,2018-01-27,17:18:00,Chick-fil-A DH,8.39
147,Dining Cash,2018-01-26,18:00:00,TGI Fridays #1757 GW,6.25
148,Dining Cash,2018-01-26,12:34:00,Wiseguy Pizza,8.78
149,Dining Cash,2018-01-25,21:32:00,CVS #01358,1.36
150,Dining Cash,2018-01-25,21:01:00,&Pizza,10.5
151,Dining Cash,2018-01-25,13:11:00,Sol Mexican,9.63
152,Dining Cash,2018-01-24,14:19:00,Roti Mediterranean Grill,9.08
153,Dining Cash,2018-01-24,12:26:00,WEPA SEH Gnd FLR,0.24
154,Dining Cash,2018-01-24,12:06:00,WEPA SEH 2nd FLR,0.16
155,Dining Cash,2018-01-23,18:21:00,Chick-fil-A DH,8.39
156,Dining Cash,2018-01-23,12:11:00,Sol Mexican,9.63
157,Dining Cash,2018-01-22,12:01:00,Roti Mediterranean Grill,9.08
158,Dining Cash,2018-01-21,22:52:00,Guthridge Hall Dryer B7,1.75
159,Dining Cash,2018-01-21,22:19:00,Guthridge Hall Washer A2,1.75
160,Dining Cash,2018-01-21,20:00:00,&Pizza,10.5
161,Dining Cash,2018-01-21,14:36:00,WEPA Glmn 1FLe,0.4
162,Dining Cash,2018-01-21,13:12:00,Whole Foods,11.69
163,Dining Cash,2018-01-20,19:12:00,GRK Fresh DH,9.3
164,Dining Cash,2018-01-20,12:22:00,Potbelly Sandwich Works - GW,8.86
165,Dining Cash,2018-01-19,18:22:00,Panera Bread,10.21
166,Dining Cash,2018-01-19,12:58:00,&Pizza,10.5
167,Dining Cash,2018-01-19,00:52:00,Surf Side Taco Stand,4.35
168,Dining Cash,2018-01-18,18:50:00,Chipotle 2000 Pen,8.47
169,Dining Cash,2018-01-18,12:51:00,Gallery Market,40.93
170,Dining Cash,2018-01-17,19:29:00,Chick-fil-A DH,5.38
171,Dining Cash,2018-01-17,12:18:00,Sol Mexican,9.63
172,Dining Cash,2018-01-16,12:06:00,Wiseguy Pizza,4.39
173,Dining Cash,2018-01-15,21:19:00,TGI Fridays #1757 GW,7.81
174,Dining Cash,2018-01-15,17:00:00,Whole Foods,21.85
175,Dining Cash,2018-01-14,21:45:00,Guthridge Hall Dryer B2,1.75
176,Dining Cash,2018-01-14,21:13:00,Guthridge Hall Washer A2,1.75
177,Dining Cash,2018-01-06,14:39:00,PatronImport Location,1350.0
178,Dining Cash,2017-12-17,13:34:00,Guthridge Hall Dryer B2,1.75
179,Dining Cash,2017-12-17,13:33:00,Guthridge Hall Dryer B1,1.75
180,Dining Cash,2017-12-17,12:31:00,GET Location 365,10.0
181,Dining Cash,2017-12-17,12:30:00,Guthridge Hall Washer A3,1.75
182,Dining Cash,2017-12-17,12:28:00,Guthridge Hall Washer A2,1.75
183,Dining Cash,2017-12-11,11:00:00,Guthridge Hall Dryer B4,1.75
184,Dining Cash,2017-12-11,10:26:00,Guthridge Hall Washer A2,1.75
185,Dining Cash,2017-12-09,12:05:00,Chick-fil-A DH,8.46
186,Dining Cash,2017-12-08,18:15:00,Whole Foods,6.48
187,Dining Cash,2017-12-08,13:35:00,Wiseguy Pizza,4.39
188,Dining Cash,2017-12-07,12:55:00,Sol Mexican,9.63
189,Dining Cash,2017-12-06,21:16:00,Gallery Market,2.79
190,Dining Cash,2017-12-06,17:26:00,Chick-fil-A DH,4.72
191,Dining Cash,2017-12-06,15:09:00,PeetsCoffee DH,2.37
192,Dining Cash,2017-12-06,12:34:00,Whole Foods,9.9
193,Dining Cash,2017-12-05,19:22:00,Gallery Market,3.99
194,Dining Cash,2017-12-05,17:20:00,Whole Foods,1.05
195,Dining Cash,2017-12-05,17:11:00,Whole Foods,4.17
196,Dining Cash,2017-12-05,12:06:00,Wiseguy Pizza,7.68
197,Dining Cash,2017-12-04,15:36:00,PeetsCoffee DH,2.37
198,Dining Cash,2017-12-04,12:33:00,Sodexo GW Hospital,6.14
199,Dining Cash,2017-12-03,15:46:00,Sol Mexican,9.63
