Company,Address,Website,Vegetarian Friendly,Gluten Free,Open Weekends,Breakfast,Late Night Dining,Delivers,GET Mobile Ordering,Kosher Friendly,Halal Friendly
Starbucks,1957 E St NW,http://www.starbucks.com/?gclid=CKC4-L66pL0CFaVxOgodOnUA2A,Yes,Yes,Yes,Yes,,,,,
Starbucks,2130 H St NW,http://www.starbucks.com/?gclid=CKC4-L66pL0CFaVxOgodOnUA2A,Yes,Yes,Yes,Yes,,,,,
Starbucks,GW Hospital ground floor lobby,http://www.starbucks.com/?gclid=CKC4-L66pL0CFaVxOgodOnUA2A,Yes,Yes,Yes,Yes,,,,,
Subway,1959 E St NW,http://www.subway.com/en-us,Yes,,Yes,Yes,,,,,Yes
Surfside ,1800 N St NW,,,Yes,,,,,,,
Sweetgreen,The Avenue/2221 I St NW,http://www.sweetgreen.com/,Yes,Yes,Yes,,,,,,
Swizzlers,Food Truck/Mobile Site ,https://www.swizzlerfoods.com/,,,,,,,,,Yes
Tasty Kabob,Food Truck/Mobile Site,http://tastykabob.squarespace.com/,Yes,Yes,,,,,,,Yes
Taylor Gourmet,1750 Pennsylvania Ave NW,http://www.taylorgourmet.com/,Yes,,Yes,Yes,,Yes,,,
TGI Friday's,2100 Pennsylvania Ave NW,https://www.tgifridays.com/,Yes,,Yes,,Yes,,,,
Tonic @ Quigley's Pharmacy,2036 G St NW,http://tonicrestaurantdc.com/home-2/,Yes,,Yes,Yes,Yes,,,,
Uptowner Cafe,2023 G St NW,,Yes,,,Yes,,,,,
Washington Deli,1990 K St NW,http://www.washingtondeli.com/,Yes,Yes,,Yes,,Yes,,,
Whole Foods Market,2200 I St NW,http://www.wholefoodsmarket.com/,Yes,Yes,Yes,Yes,,,,Yes,Yes
Wicked Waffle,1712 I St NW,http://wickedwaffle.com/,Yes,Yes,Yes,Yes,,,,,
Wingo's,3207 O St NW,http://www.wingos.com/,Yes,,Yes,Yes,Yes,Yes,Yes,,
Wiseguys Pizza,District House (LL)/2121 H St NW,http://www.wiseguynypizza.com,Yes,,Yes,Yes,Yes,,,,
